real,pred,conds,peaks
3.0,3.0,syll,first
3.5,3.0,syll,first
3.5,3.0,syll,first
6.0,6.0,syll,first
7.0,6.0,syll,first
7.0,6.0,syll,first
9.0,9.0,syll,first
9.0,9.0,syll,first
10.0,9.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
6.5,6.0,syll,first
6.5,6.0,syll,first
7.0,6.0,syll,first
9.5,9.0,syll,first
10.0,9.0,syll,first
10.0,9.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
6.5,6.0,syll,first
6.5,6.0,syll,first
7.0,6.0,syll,first
9.5,9.0,syll,first
10.5,9.0,syll,first
10.5,9.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
7.0,6.0,syll,first
7.0,6.0,syll,first
7.0,6.0,syll,first
10.0,9.0,syll,first
10.5,9.0,syll,first
10.0,9.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
6.5,6.0,syll,first
6.5,6.0,syll,first
6.5,6.0,syll,first
9.0,9.0,syll,first
10.0,9.0,syll,first
9.5,9.0,syll,first
3.5,3.0,syll,first
3.0,3.0,syll,first
3.5,3.0,syll,first
6.5,6.0,syll,first
5.5,6.0,syll,first
7.0,6.0,syll,first
10.0,9.0,syll,first
9.5,9.0,syll,first
10.0,9.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
6.0,6.0,syll,first
6.5,6.0,syll,first
7.5,6.0,syll,first
10.0,9.0,syll,first
11.0,9.0,syll,first
10.0,9.0,syll,first
3.0,3.0,syll,first
3.5,3.0,syll,first
3.5,3.0,syll,first
6.5,6.0,syll,first
6.5,6.0,syll,first
6.5,6.0,syll,first
10.0,9.0,syll,first
9.5,9.0,syll,first
9.5,9.0,syll,first
3.0,3.0,syll,first
3.5,3.0,syll,first
3.0,3.0,syll,first
6.5,6.0,syll,first
7.0,6.0,syll,first
7.0,6.0,syll,first
9.5,9.0,syll,first
10.0,9.0,syll,first
10.0,9.0,syll,first
3.5,3.0,syll,first
3.0,3.0,syll,first
3.5,3.0,syll,first
6.5,6.0,syll,first
6.0,6.0,syll,first
6.5,6.0,syll,first
9.5,9.0,syll,first
9.5,9.0,syll,first
10.5,9.0,syll,first
3.0,3.0,syll,first
3.0,3.0,syll,first
3.5,3.0,syll,first
6.5,6.0,syll,first
6.5,6.0,syll,first
7.0,6.0,syll,first
9.0,9.0,syll,first
9.5,9.0,syll,first
9.5,9.0,syll,first
3.0,6.0,phon,first
3.5,7.5,phon,first
3.5,9.0,phon,first
6.0,12.0,phon,first
7.0,15.0,phon,first
7.0,18.0,phon,first
9.0,18.0,phon,first
9.0,22.5,phon,first
10.0,27.0,phon,first
3.0,6.0,phon,first
3.0,7.5,phon,first
3.0,9.0,phon,first
6.5,12.0,phon,first
6.5,15.0,phon,first
7.0,18.0,phon,first
9.5,18.0,phon,first
10.0,22.5,phon,first
10.0,27.0,phon,first
3.0,6.0,phon,first
3.0,7.5,phon,first
3.0,9.0,phon,first
6.5,12.0,phon,first
6.5,15.0,phon,first
7.0,18.0,phon,first
9.5,18.0,phon,first
10.5,22.5,phon,first
10.5,27.0,phon,first
3.0,6.0,phon,first
3.0,7.5,phon,first
3.0,9.0,phon,first
7.0,12.0,phon,first
7.0,15.0,phon,first
7.0,18.0,phon,first
10.0,18.0,phon,first
10.5,22.5,phon,first
10.0,27.0,phon,first
3.0,6.0,phon,first
3.0,7.5,phon,first
3.0,9.0,phon,first
6.5,12.0,phon,first
6.5,15.0,phon,first
6.5,18.0,phon,first
9.0,18.0,phon,first
